Barbecued Chicken,Red Peppers,Green Peppers,Tomatoes,Red Onions,Barbecue Sauce,Chicken,Artichoke,Spinach,Garlic,Jalapeno Peppers,Fontina Cheese,Gouda Cheese,Mushrooms,Asiago Cheese,Alfredo Sauce,Pesto Sauce,Corn,Cilantro,Chipotle Sauce,Pineapple,Thai Sweet Chilli Sauce,Bacon,Pepperoni,Italian Sausage,Chorizo Sausage,Sliced Ham,Mozzarella Cheese,Capocollo,Goat Cheese,Oregano,Anchovies,Green Olives,Kalamata Olives,Feta Cheese,Beef Chuck Roast,Brie Carre Cheese,Prosciutto,Caramelized Onions,Pears,Thyme,ï¿½Nduja Salami,Pancetta,Friggitello Peppers,Calabrese Salami,Genoa Salami,Prosciutto di San Daniele,Arugula,Coarse Sicilian Salami,Luganega Sausage,Onions,Soppressata Salami,Artichokes,Peperoncini verdi,Provolone Cheese,Smoked Gouda Cheese,Romano Cheese,Blue Cheese,Ricotta Cheese,Gorgonzola Piccante Cheese,Parmigiano Reggiano Cheese,Eggplant,Zucchini,Sun-dried Tomatoes,Plum Tomatoes
49,270,83,425,291,49,126,35,128,412,91,45,35,119,34,6,38,57,57,57,73,40,69,140,22,22,33,151,128,74,24,15,93,41,53,20,1,1,1,1,1,5,5,5,37,18,19,19,34,34,34,11,97,51,29,29,29,29,28,28,28,12,36,24,11
62,441,130,747,549,62,257,74,285,811,166,88,74,268,115,38,72,92,92,92,143,69,99,285,28,28,74,336,197,94,22,32,174,93,142,47,8,8,8,8,8,23,23,23,54,50,38,38,59,59,59,14,164,72,45,45,45,45,86,86,86,24,64,40,18
82,467,150,788,555,82,267,72,249,761,188,85,72,206,82,17,70,116,116,116,135,72,84,258,26,26,63,286,196,94,34,48,184,78,111,40,6,6,6,6,6,25,25,25,55,48,29,29,66,66,66,13,145,61,42,42,42,42,57,57,57,24,67,43,20
80,458,158,747,532,80,253,84,268,823,168,114,84,258,81,22,79,84,84,84,137,78,104,279,33,33,59,351,185,90,30,50,186,81,120,40,7,7,7,7,7,16,16,16,56,39,45,45,60,60,60,30,157,61,62,62,62,62,81,81,81,33,71,44,22
86,461,149,723,519,86,222,67,229,763,156,90,67,220,80,26,69,89,89,89,126,72,90,236,29,29,54,296,162,97,41,42,146,91,118,53,10,10,10,10,10,23,23,23,31,35,42,42,63,63,63,23,143,56,35,35,35,35,77,77,77,29,67,39,20
92,517,170,825,610,92,278,87,292,856,185,105,87,269,90,24,68,99,99,99,151,70,121,290,33,33,81,339,232,136,53,26,155,96,130,55,13,13,13,13,13,36,36,36,58,39,43,43,55,55,55,18,165,82,49,49,49,49,72,72,72,15,67,41,14
100,509,174,826,557,100,281,84,270,831,206,108,84,226,80,29,89,123,123,123,127,65,77,251,24,24,62,333,175,106,35,27,180,105,124,59,12,12,12,12,12,16,16,16,45,25,36,36,86,86,86,24,174,72,45,45,45,45,77,77,77,34,75,41,19
77,507,145,776,539,77,313,82,281,742,188,105,82,227,66,21,87,107,107,107,185,97,98,239,33,33,88,322,161,83,32,45,173,82,119,38,10,10,10,10,10,30,30,30,47,32,42,42,56,56,56,23,141,51,36,36,36,36,62,62,62,27,71,50,31
69,462,159,788,521,69,272,78,284,801,171,104,78,259,107,21,77,93,93,93,145,75,101,315,36,36,70,325,183,99,43,40,178,103,124,45,5,5,5,5,5,28,28,28,35,50,30,30,74,74,74,27,162,56,54,54,54,54,65,65,65,27,69,43,22
57,400,109,602,456,57,240,74,206,625,179,92,74,197,83,30,50,106,106,106,129,55,80,211,24,24,74,266,156,81,34,28,124,67,90,30,10,10,10,10,10,19,19,19,39,36,31,31,45,45,45,19,124,47,38,38,38,38,51,51,51,25,54,35,20
